,Alachua County ,Baker County ,Bay County ,Bradford County ,Brevard County ,Broward County ,Calhoun County ,Charlotte County ,Citrus County ,Clay County ,Collier County ,Columbia County ,DeSoto County ,Dixie County ,Duval County ,Escambia County ,Flagler County ,Franklin County ,Gadsden County ,Gilchrist County ,Glades County ,Gulf County ,Hamilton County ,Hardee County ,Hendry County ,Hernando County ,Highlands County ,Hillsborough County ,Holmes County ,Indian River County ,Jackson County ,Jefferson County ,Lafayette County ,Lake County ,Lee County ,Leon County ,Levy County ,Liberty County ,Madison County ,Manatee County ,Marion County ,Martin County ,Miami-Dade County ,Monroe County ,Nassau County ,Okaloosa County ,Okeechobee County ,Orange County ,Osceola County ,Palm Beach County ,Pasco County ,Pinellas County ,Polk County ,Putnam County ,St. Johns County ,St. Lucie County ,Santa Rosa County ,Sarasota County ,Seminole County ,Sumter County ,Suwannee County ,Taylor County ,Union County ,Volusia County ,Wakulla County ,Walton County ,Washington County 
Jan2020_Sum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb2020_Sum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar2020_Sum,652,60,40,13,210,7234,1,115,149,251,922,28,43,0,1086,334,93,0,14,0,7,0,0,0,10,134,76,1840,2,171,16,0,0,322,1043,152,8,0,0,363,120,156,9865,150,61,286,0,1763,652,2722,287,952,346,87,442,168,183,473,582,286,10,0,1,484,3,136,5
Apr2020_Sum,5697,492,1323,890,5139,100862,147,3815,2156,5468,11930,945,610,85,21771,8583,2004,54,1247,91,137,30,88,156,1028,2096,1749,24501,143,2234,241,496,23,5118,20175,4156,274,41,677,9585,3130,3870,237806,1879,1131,3247,182,31092,10591,56034,5181,15620,8765,1525,5206,5008,3329,7300,8339,3749,2246,43,73,8265,372,877,178
May2020_Sum,10272,787,2615,1524,11085,191588,1117,11250,3424,10017,30549,3467,2448,776,39693,21296,4934,62,5939,251,416,31,3406,1610,6676,3233,3205,50528,382,3322,4157,879,164,7944,45101,9247,754,5243,1979,26121,6759,11374,472942,2946,2024,5552,1248,51167,18705,138046,9943,31040,22833,4077,7146,10316,5873,15410,13453,7594,4779,226,558,18626,937,2453,708
Jun2020_Sum,18900,1105,5501,1794,23466,302655,2001,16885,5167,14267,82633,6079,11612,1810,82033,33889,6713,88,9471,1561,3427,309,8470,7053,20267,5365,6167,146871,1936,9338,9627,1052,492,18132,96904,16732,3325,6569,3188,49925,11252,38147,720812,4437,3216,11202,6143,132183,30814,283732,23430,90467,55812,6460,12840,29879,9815,26757,32818,8400,7574,1646,1243,33842,1174,4835,2722
Jul2020_Sum,74075,6255,54683,5345,117966,1100530,5685,40671,22480,55392,217451,35453,30111,4723,452826,153654,18255,1629,24248,6172,7975,4438,14572,20156,40426,31684,21818,655299,8750,44714,24822,3488,1979,92293,344332,85237,10352,8992,12368,180203,69054,90583,2368536,23077,19694,50723,19122,637841,162858,734138,135582,374260,261526,26596,67080,103255,53458,112504,147497,22648,25461,5679,4212,140861,8161,21591,8190
Aug2020_Sum,140131,28887,145756,17101,199982,2027982,14788,73250,53564,107006,334005,93258,43354,17147,754537,308950,35368,13062,61617,12319,13089,21148,19820,30873,57131,68306,48562,1052018,16669,81032,62852,14226,21995,172300,534460,166425,23614,12672,23509,300254,219458,122965,4403987,49252,42046,113619,34488,1024355,314178,1196320,228179,574879,470528,49423,120424,191199,128405,203877,229442,46407,60525,30730,13483,258113,23682,45600,27362
Sep2020_Sum,202872,40493,172265,28725,244389,2244924,17959,86934,75011,138578,368686,107412,46123,23557,862420,356019,47050,17592,78871,14766,14703,25753,23516,37339,60824,87838,60543,1197268,21318,90918,79041,16043,36670,212976,589953,271376,29407,14355,29147,330381,276607,139612,4948751,53757,58466,139185,41706,1149751,357003,1334803,260333,633745,560314,59398,147974,228765,153293,231460,259384,63453,77367,37995,24224,307488,31064,54994,31472
Oct2020_Sum,290024,51374,199748,36921,319679,2509368,20696,103828,93502,175202,420247,126136,50239,26764,1015629,400415,60182,21658,92717,17222,18001,28334,27478,46515,66497,106420,75011,1399419,25681,109575,93161,19107,38946,251356,677719,357240,33910,16280,32591,385605,321077,159647,5508470,63272,71814,176596,51522,1339663,415432,1517844,313252,741002,669941,70030,183927,265661,175702,276840,299746,83557,89440,43726,32917,367276,38240,68218,35824
Nov2020_Sum,353769,57339,230240,39598,410162,2886905,23982,130848,119155,210331,483462,135605,58781,27395,1170398,455119,72938,24268,94811,20412,19183,30434,28292,50826,70976,129959,97179,1597784,31320,134051,106165,21706,38885,290064,797152,409797,38183,16807,35218,450222,356560,173550,6155026,85346,83722,230980,56761,1559970,485724,1763586,383617,881577,760556,76920,228159,297629,199898,345483,347919,95722,94251,47201,35814,434636,44236,96188,41522
Dec2020_Sum,445187,69560,315397,53747,568114,3812073,32042,193725,177646,296231,628493,164999,82495,31835,1620884,601101,98535,26499,111534,27570,22525,36562,34200,59591,89698,191749,136489,2092096,43424,179474,131399,26863,43035,399201,1099421,534394,50459,20613,44048,604096,475909,218197,8210392,119918,121456,341478,68650,2058010,682548,2303323,572894,1205791,999221,103931,336056,386261,285748,502875,484142,130601,112159,55537,41287,596577,57626,132693,53568
Jan2021_Sum,572062,86355,437472,76191,791573,4856488,43981,272340,241283,424169,787658,208579,98361,39731,2272901,835491,142549,33755,144338,34822,25649,47304,43429,73295,115844,272935,179287,2807637,59791,265673,162185,36213,45984,589747,1468555,721987,70135,27890,52566,797607,670426,274911,10522612,150651,188223,462639,90003,2833889,929657,2976935,814107,1649361,1385187,149940,500621,534801,419778,686968,666752,194045,140371,69713,49050,835053,80418,177210,69444
Feb2021_Sum,608457,89774,500460,77552,895228,5172096,44207,287509,260379,453428,816135,209708,100187,40275,2407133,913416,157974,35440,148475,36970,24745,50420,43173,75730,117346,298765,193589,2980017,59942,293331,162682,38214,43652,654522,1553510,784652,76654,28619,53777,849756,735548,283189,11013550,156607,207980,501914,96099,3061843,990096,3204568,886029,1772355,1519511,159530,544200,587081,460000,727894,723344,212675,140074,72246,47850,925486,86481,189636,71767
Mar2021_Sum,709065,103174,595719,89559,1106864,6355142,50806,343392,311436,528408,973335,240471,122320,47377,2815028,1066207,195964,39887,170612,45078,28352,58660,48910,88468,136130,368382,231059,3610297,68243,353321,185958,43853,49620,796431,1865494,924087,92892,32529,62678,1035892,881007,341119,13297628,190603,243925,602906,112980,3685316,1185614,3917528,1081388,2151650,1834368,184261,639503,718016,541851,872613,886126,260738,160378,82978,54530,1122571,99542,223405,82091
Apr2021_Sum,721548,102613,591102,88574,1172335,6785501,50168,366323,319462,536078,1020440,239385,125794,47213,2846776,1061063,209089,39127,167504,46536,28123,57941,48214,89993,137201,392167,241659,3860975,66733,362945,183345,43549,48296,840884,1979452,926245,97774,31842,61234,1096013,896332,354644,13986078,200743,243499,602248,116067,3911760,1256274,4132345,1158334,2276164,1930292,186840,654906,750567,538681,930604,957856,271477,158172,81122,53778,1221521,99748,226675,80903
May2021_Sum,777701,108982,630995,93867,1306270,7487524,52636,406173,347789,585861,1127665,253557,135528,50091,3076274,1126340,228767,41465,177291,50236,29914,61066,50616,99158,148348,441116,268074,4334070,70248,392199,193671,46569,50242,938065,2230948,1002142,108201,33412,64272,1214793,975481,386870,15316423,217721,262771,641411,126301,4346260,1404733,4538000,1302159,2491924,2160503,204239,709798,832169,568848,1028081,1073234,291199,166085,84955,56804,1362196,107870,243100,84920
Jun2021_Sum,762210,107081,603887,91551,1287756,7347065,51358,401525,342977,583017,1094659,248576,133099,48902,3026367,1028090,224950,40121,173862,49270,29585,59122,49096,99314,146774,441556,262724,4322846,68176,385820,189965,45279,48827,929370,2182453,972403,107919,32532,62665,1188050,960220,380433,15008320,206425,253592,626157,126082,4284575,1386454,4437798,1289974,2419273,2143456,203003,699272,830868,555475,985498,1068564,284488,162025,82554,55850,1344732,106312,221021,82327
Jul2021_Sum,812689,121655,656049,102909,1435048,7890186,56569,428858,368634,657593,1169022,268506,139322,52719,3432094,1057038,249226,42270,186636,53382,31369,64594,51875,109436,156061,483761,279755,4706946,72110,417063,207006,47688,51448,1016112,2323551,1035130,117575,35073,65942,1265669,1037418,416283,16056237,217741,290152,670484,135061,4684539,1507513,4767603,1401151,2595023,2331424,224446,784152,909815,593314,1041920,1189204,304250,172317,87017,61435,1488677,114273,227648,87579
Aug2021_Sum,954470,150984,810344,128133,1857842,9146831,71266,508142,451376,824101,1367492,348058,156256,64812,4277225,1260828,322852,52173,216715,67541,34324,77656,62945,130786,176816,626339,333398,5678875,86197,511362,247442,56909,57446,1249635,2787526,1225997,150137,43596,78770,1497019,1282744,486796,18064291,255542,373587,791728,158992,5629207,1777693,5580945,1761146,3144646,2908726,283931,962454,1110017,709761,1252389,1480015,348380,209422,100432,75998,1843907,142030,275016,105839
