,County Name,Jan2020_Sum,Feb2020_Sum,Mar2020_Sum,Apr2020_Sum,May2020_Sum,Jun2020_Sum,Jul2020_Sum,Aug2020_Sum,Sep2020_Sum,Oct2020_Sum,Nov2020_Sum,Dec2020_Sum,Jan2021_Sum,Feb2021_Sum,Mar2021_Sum,Apr2021_Sum,May2021_Sum,Jun2021_Sum,Jul2021_Sum,Aug2021_Sum,Sep2021_Sum,Oct2021_Sum,Nov2021_Sum,Dec2021_Sum,Jan2022_Sum,Feb2022_Sum,Mar2022_Sum,Apr2022_Sum,May2022_Sum,Jun2022_Sum
0,Alachua County ,0,0,652,5697,10272,18900,74075,140131,202872,290024,353769,445187,572062,608457,709065,721548,777701,762210,812689,954470,1101442,1210471,1193842,1258827,1622418,1834135,2094176,2045463,2148291,1214761
1,Baker County ,0,0,60,492,787,1105,6255,28887,40493,51374,57339,69560,86355,89774,103174,102613,108982,107081,121655,150984,172178,184546,179785,187006,212376,235856,267820,260284,270321,149382
2,Bay County ,0,0,40,1323,2615,5501,54683,145756,172265,199748,230240,315397,437472,500460,595719,591102,630995,603887,656049,810344,904305,977432,955973,996066,1147753,1247116,1412066,1371171,1426408,794124
3,Bradford County ,0,0,13,890,1524,1794,5345,17101,28725,36921,39598,53747,76191,77552,89559,88574,93867,91551,102909,128133,151470,164623,160229,166408,187903,203711,231160,224488,233983,129825
4,Brevard County ,0,0,210,5139,11085,23466,117966,199982,244389,319679,410162,568114,791573,895228,1106864,1172335,1306270,1287756,1435048,1857842,2261298,2479186,2433184,2562204,3272755,3612696,4110229,4007530,4229505,2408525
5,Broward County ,0,0,7234,100862,191588,302655,1100530,2027982,2244924,2509368,2886905,3812073,4856488,5172096,6355142,6785501,7487524,7347065,7890186,9146831,10126807,10953618,10761265,11545479,16062790,16468078,18528010,18089694,19165101,10932409
6,Calhoun County ,0,0,1,147,1117,2001,5685,14788,17959,20696,23982,32042,43981,44207,50806,50168,52636,51358,56569,71266,84627,92784,90265,93630,105042,111945,126432,122706,127431,70471
7,Charlotte County ,0,0,115,3815,11250,16885,40671,73250,86934,103828,130848,193725,272340,287509,343392,366323,406173,401525,428858,508142,629823,709655,701764,739906,873544,953281,1098975,1076853,1137778,646117
8,Citrus County ,0,0,149,2156,3424,5167,22480,53564,75011,93502,119155,177646,241283,260379,311436,319462,347789,342977,368634,451376,559405,626651,615332,645821,734395,796728,911179,887175,933240,526834
9,Clay County ,0,0,251,5468,10017,14267,55392,107006,138578,175202,210331,296231,424169,453428,528408,536078,585861,583017,657593,824101,945040,1039978,1017527,1064671,1294367,1456274,1655774,1605103,1672074,937237
10,Collier County ,0,0,922,11930,30549,82633,217451,334005,368686,420247,483462,628493,787658,816135,973335,1020440,1127665,1094659,1169022,1367492,1582184,1743769,1710684,1805107,2194298,2274299,2571531,2512614,2650681,1495596
11,Columbia County ,0,0,28,945,3467,6079,35453,93258,107412,126136,135605,164999,208579,209708,240471,239385,253557,248576,268506,348058,422298,458536,447950,467167,530983,577470,654634,634371,657988,364794
12,DeSoto County ,0,0,43,610,2448,11612,30111,43354,46123,50239,58781,82495,98361,100187,122320,125794,135528,133099,139322,156256,190777,211819,207883,216173,241295,253707,288585,281747,293540,163494
13,Dixie County ,0,0,0,85,776,1810,4723,17147,23557,26764,27395,31835,39731,40275,47377,47213,50091,48902,52719,64812,80618,90582,88759,92308,101485,109437,124627,121076,125521,69366
14,Duval County ,0,0,1086,21771,39693,82033,452826,754537,862420,1015629,1170398,1620884,2272901,2407133,2815028,2846776,3076274,3026367,3432094,4277225,4701153,5061916,4950033,5178146,6393269,6891094,7795422,7583443,7935689,4457911
15,Escambia County ,0,0,334,8583,21296,33889,153654,308950,356019,400415,455119,601101,835491,913416,1066207,1061063,1126340,1028090,1057038,1260828,1506739,1649082,1615515,1689517,2009419,2129797,2408507,2336404,2427534,1350716
16,Flagler County ,0,0,93,2004,4934,6713,18255,35368,47050,60182,72938,98535,142549,157974,195964,209089,228767,224950,249226,322852,400447,440842,433652,458048,555782,605610,687574,670619,705520,399867
17,Franklin County ,0,0,0,54,62,88,1629,13062,17592,21658,24268,26499,33755,35440,39887,39127,41465,40121,42270,52173,63074,68660,66842,69322,77815,84158,95175,92300,95777,53006
18,Gadsden County ,0,0,14,1247,5939,9471,24248,61617,78871,92717,94811,111534,144338,148475,170612,167504,177291,173862,186636,216715,244147,265771,260164,272987,341297,367273,415216,402974,418756,233611
19,Gilchrist County ,0,0,0,91,251,1561,6172,12319,14766,17222,20412,27570,34822,36970,45078,46536,50236,49270,53382,67541,86516,96732,95036,99129,110410,121923,139864,136247,141581,78559
20,Glades County ,0,0,7,137,416,3427,7975,13089,14703,18001,19183,22525,25649,24745,28352,28123,29914,29585,31369,34324,39802,43819,43581,45419,51977,54352,61490,59627,61974,34591
21,Gulf County ,0,0,0,30,31,309,4438,21148,25753,28334,30434,36562,47304,50420,58660,57941,61066,59122,64594,77656,85659,91689,89297,92651,106414,116478,132346,128420,133175,74025
22,Hamilton County ,0,0,0,88,3406,8470,14572,19820,23516,27478,28292,34200,43429,43173,48910,48214,50616,49096,51875,62945,76871,83613,82460,85719,98874,104476,118229,114904,119350,66090
23,Hardee County ,0,0,0,156,1610,7053,20156,30873,37339,46515,50826,59591,73295,75730,88468,89993,99158,99314,109436,130786,165888,186223,182576,189870,221075,236504,267448,259875,270013,149605
24,Hendry County ,0,0,10,1028,6676,20267,40426,57131,60824,66497,70976,89698,115844,117346,136130,137201,148348,146774,156061,176816,222229,245007,239931,250241,303613,322333,361968,350897,365525,203588
25,Hernando County ,0,0,134,2096,3233,5365,31684,68306,87838,106420,129959,191749,272935,298765,368382,392167,441116,441556,483761,626339,789526,875893,858793,898465,1055215,1138526,1295188,1260092,1319584,743920
26,Highlands County ,0,0,76,1749,3205,6167,21818,48562,60543,75011,97179,136489,179287,193589,231059,241659,268074,262724,279755,333398,431966,487918,480334,502753,595930,647924,741762,722491,755222,422514
27,Hillsborough County ,0,0,1840,24501,50528,146871,655299,1052018,1197268,1399419,1597784,2092096,2807637,2980017,3610297,3860975,4334070,4322846,4706946,5678875,6717264,7386571,7300323,7717460,9570121,10135048,11549035,11257464,11829554,6687413
28,Holmes County ,0,0,2,143,382,1936,8750,16669,21318,25681,31320,43424,59791,59942,68243,66733,70248,68176,72110,86197,106127,117854,115534,120347,136988,147722,166864,162343,168463,92970
29,Indian River County ,0,0,171,2234,3322,9338,44714,81032,90918,109575,134051,179474,265673,293331,353321,362945,392199,385820,417063,511362,621634,681660,666133,697059,825565,879997,999400,976370,1032876,587224
30,Jackson County ,0,0,16,241,4157,9627,24822,62852,79041,93161,106165,131399,162185,162682,185958,183345,193671,189965,207006,247442,283060,310458,304072,316593,364995,400711,456282,443478,461105,255884
