sort,State,FIPS,County,County Seat(s),Population (2010),Land area km2,Land area mi2,Water area km2,Water area mi2,Total area km2,Total area mi2,Latitude,Longitude
321,FL,12001,Alachua,Gainesville,"247,336","2,266.29",875.02,242.911,93.788,"2,509.20",968.808,+29.675740°,–82.357221°
322,FL,12003,Baker,Macclenny,"27,115","1,515.74",585.231,9.686,3.74,"1,525.43",588.971,+30.324442°,–82.302284°
323,FL,12005,Bay,Panama City,"168,852","1,964.40",758.459,711.453,274.694,"2,675.85","1,033.15",+30.237563°,–85.631348°
324,FL,12007,Bradford,Starke,"28,520",761.357,293.962,16.905,6.527,778.262,300.489,+29.946934°,–82.166796°
325,FL,12009,Brevard,Titusville,"543,376","2,630.56","1,015.66","1,402.04",541.331,"4,032.60","1,557.00",+28.298276°,–80.700384°
326,FL,12011,Broward,Fort Lauderdale,"1,748,066","3,133.33","1,209.79",292.869,113.077,"3,426.20","1,322.86",+26.193520°,–80.476658°
327,FL,12013,Calhoun,Blountstown,"14,625","1,469.39",567.334,18.075,6.979,"1,487.46",574.313,+30.388801°,–85.197916°
328,FL,12015,Charlotte,Punta Gorda,"159,978","1,761.91",680.279,461.075,178.022,"2,222.99",858.301,+26.868826°,–81.940858°
329,FL,12017,Citrus,Inverness,"141,236","1,506.59",581.696,496.236,191.598,"2,002.82",773.294,+28.843628°,–82.524796°
330,FL,12019,Clay,Green Cove Springs,"190,865","1,565.29",604.36,101.496,39.188,"1,666.78",643.548,+29.987116°,–81.858147°
331,FL,12021,Collier,East Naples,"321,520","5,175.64","1,998.32",794.325,306.691,"5,969.96","2,305.02",+26.118713°,–81.400884°
332,FL,12023,Columbia,Lake City,"67,531","2,065.71",797.574,9.723,3.754,"2,075.43",801.328,+30.221305°,–82.623127°
333,FL,12027,DeSoto,Arcadia,"34,862","1,649.98",637.059,6.275,2.423,"1,656.25",639.482,+27.190581°,–81.806253°
334,FL,12029,Dixie,Cross City,"16,422","1,826.08",705.053,410.764,158.597,"2,236.84",863.65,+29.580899°,–83.195666°
335,FL,12031,Duval,Jacksonville,"864,263","1,974.07",762.192,404.713,156.26,"2,378.78",918.452,+30.335245°,–81.648113°
336,FL,12033,Escambia,Pensacola,"297,619","1,700.23",656.461,565.247,218.243,"2,265.47",874.704,+30.611664°,–87.339040°
337,FL,12035,Flagler,Bunnell,"95,696","1,257.34",485.461,221.091,85.364,"1,478.43",570.825,+29.474894°,–81.286362°
338,FL,12037,Franklin,Apalachicola,"11,549","1,384.93",534.725,"1,273.68",491.769,"2,658.61","1,026.49",+29.810176°,–84.799174°
339,FL,12039,Gadsden,Quincy,"46,389","1,337.29",516.332,31.588,12.196,"1,368.88",528.528,+30.579170°,–84.612783°
340,FL,12041,Gilchrist,Trenton,"16,939",905.659,349.677,14.406,5.562,920.064,355.239,+29.723456°,–82.795801°
341,FL,12043,Glades,Moore Haven,"12,884","2,087.55",806.009,468.371,180.839,"2,555.93",986.848,+26.954810°,–81.190820°
342,FL,12045,Gulf,Port St. Joe,"15,863","1,460.79",564.012,496.109,191.549,"1,956.89",755.561,+29.907257°,–85.256537°
343,FL,12047,Hamilton,Jasper,"14,799","1,330.71",513.79,13.638,5.266,"1,344.35",519.056,+30.491102°,–82.951049°
344,FL,12049,Hardee,Wauchula,"27,731","1,651.85",637.783,1.44,0.556,"1,653.29",638.339,+27.492846°,–81.821580°
345,FL,12051,Hendry,LaBelle,"39,140","2,985.61","1,152.75",96.465,37.246,"3,082.08","1,190.00",+26.539340°,–81.151584°
346,FL,12053,Hernando,Brooksville,"172,778","1,223.87",472.539,301.689,116.483,"1,525.56",589.022,+28.567911°,–82.464835°
347,FL,12055,Highlands,Sebring,"98,786","2,633.02","1,016.62",231.596,89.42,"2,864.62","1,106.04",+27.342627°,–81.340921°
348,FL,12057,Hillsborough,Tampa,"1,229,226","2,642.34","1,020.21",635.973,245.551,"3,278.31","1,265.77",+27.906590°,–82.349568°
349,FL,12059,Holmes,Bonifay,"19,927","1,240.03",478.777,26.599,10.27,"1,266.63",489.047,+30.866222°,–85.812959°
350,FL,12061,Indian River,Vero Beach,"138,028","1,302.43",502.872,295.606,114.134,"1,598.04",617.006,+27.700638°,–80.574803°
351,FL,12063,Jackson,Marianna,"49,746","2,376.99",917.76,95.322,36.804,"2,472.31",954.564,+30.787812°,–85.210374°
352,FL,12065,Jefferson,Monticello,"14,761","1,549.06",598.095,99.559,38.44,"1,648.62",636.535,+30.424558°,–83.890859°
353,FL,12067,Lafayette,Mayo,"8,870","1,407.43",543.411,11.646,4.497,"1,419.08",547.908,+29.990066°,–83.178510°
354,FL,12069,Lake,Tavares,"297,052","2,430.40",938.381,566.127,218.583,"2,996.52","1,156.96",+28.764113°,–81.712282°
