,County Name,Date,Covid Cases,months
0,Alachua County ,Jan2020_Sum,0,Jan2020_Sum
67,Alachua County ,Feb2020_Sum,0,Feb2020_Sum
134,Alachua County ,Mar2020_Sum,652,Mar2020_Sum
201,Alachua County ,Apr2020_Sum,5697,Apr2020_Sum
268,Alachua County ,May2020_Sum,10272,May2020_Sum
335,Alachua County ,Jun2020_Sum,18900,Jun2020_Sum
402,Alachua County ,Jul2020_Sum,74075,Jul2020_Sum
469,Alachua County ,Aug2020_Sum,140131,Aug2020_Sum
536,Alachua County ,Sep2020_Sum,202872,Sep2020_Sum
603,Alachua County ,Oct2020_Sum,290024,Oct2020_Sum
670,Alachua County ,Nov2020_Sum,353769,Nov2020_Sum
737,Alachua County ,Dec2020_Sum,445187,Dec2020_Sum
804,Alachua County ,Jan2021_Sum,572062,Jan2021_Sum
871,Alachua County ,Feb2021_Sum,608457,Feb2021_Sum
938,Alachua County ,Mar2021_Sum,709065,Mar2021_Sum
1005,Alachua County ,Apr2021_Sum,721548,Apr2021_Sum
1072,Alachua County ,May2021_Sum,777701,May2021_Sum
1139,Alachua County ,Jun2021_Sum,762210,Jun2021_Sum
1206,Alachua County ,Jul2021_Sum,812689,Jul2021_Sum
1273,Alachua County ,Aug2021_Sum,954470,Aug2021_Sum
1340,Alachua County ,Sep2021_Sum,1101442,Sep2021_Sum
1407,Alachua County ,Oct2021_Sum,1210471,Oct2021_Sum
1474,Alachua County ,Nov2021_Sum,1193842,Nov2021_Sum
1541,Alachua County ,Dec2021_Sum,1258827,Dec2021_Sum
1608,Alachua County ,Jan2022_Sum,1622418,Jan2022_Sum
1675,Alachua County ,Feb2022_Sum,1834135,Feb2022_Sum
1742,Alachua County ,Mar2022_Sum,2094176,Mar2022_Sum
1809,Alachua County ,Apr2022_Sum,2045463,Apr2022_Sum
1876,Alachua County ,May2022_Sum,2148291,May2022_Sum
1943,Alachua County ,Jun2022_Sum,1214761,Jun2022_Sum
1,Baker County ,Jan2020_Sum,0,Jan2020_Sum
68,Baker County ,Feb2020_Sum,0,Feb2020_Sum
135,Baker County ,Mar2020_Sum,60,Mar2020_Sum
202,Baker County ,Apr2020_Sum,492,Apr2020_Sum
269,Baker County ,May2020_Sum,787,May2020_Sum
336,Baker County ,Jun2020_Sum,1105,Jun2020_Sum
403,Baker County ,Jul2020_Sum,6255,Jul2020_Sum
470,Baker County ,Aug2020_Sum,28887,Aug2020_Sum
537,Baker County ,Sep2020_Sum,40493,Sep2020_Sum
604,Baker County ,Oct2020_Sum,51374,Oct2020_Sum
671,Baker County ,Nov2020_Sum,57339,Nov2020_Sum
738,Baker County ,Dec2020_Sum,69560,Dec2020_Sum
805,Baker County ,Jan2021_Sum,86355,Jan2021_Sum
872,Baker County ,Feb2021_Sum,89774,Feb2021_Sum
939,Baker County ,Mar2021_Sum,103174,Mar2021_Sum
1006,Baker County ,Apr2021_Sum,102613,Apr2021_Sum
1073,Baker County ,May2021_Sum,108982,May2021_Sum
1140,Baker County ,Jun2021_Sum,107081,Jun2021_Sum
1207,Baker County ,Jul2021_Sum,121655,Jul2021_Sum
1274,Baker County ,Aug2021_Sum,150984,Aug2021_Sum
1341,Baker County ,Sep2021_Sum,172178,Sep2021_Sum
1408,Baker County ,Oct2021_Sum,184546,Oct2021_Sum
1475,Baker County ,Nov2021_Sum,179785,Nov2021_Sum
1542,Baker County ,Dec2021_Sum,187006,Dec2021_Sum
1609,Baker County ,Jan2022_Sum,212376,Jan2022_Sum
1676,Baker County ,Feb2022_Sum,235856,Feb2022_Sum
1743,Baker County ,Mar2022_Sum,267820,Mar2022_Sum
1810,Baker County ,Apr2022_Sum,260284,Apr2022_Sum
1877,Baker County ,May2022_Sum,270321,May2022_Sum
1944,Baker County ,Jun2022_Sum,149382,Jun2022_Sum
2,Bay County ,Jan2020_Sum,0,Jan2020_Sum
69,Bay County ,Feb2020_Sum,0,Feb2020_Sum
136,Bay County ,Mar2020_Sum,40,Mar2020_Sum
203,Bay County ,Apr2020_Sum,1323,Apr2020_Sum
270,Bay County ,May2020_Sum,2615,May2020_Sum
337,Bay County ,Jun2020_Sum,5501,Jun2020_Sum
404,Bay County ,Jul2020_Sum,54683,Jul2020_Sum
471,Bay County ,Aug2020_Sum,145756,Aug2020_Sum
538,Bay County ,Sep2020_Sum,172265,Sep2020_Sum
605,Bay County ,Oct2020_Sum,199748,Oct2020_Sum
672,Bay County ,Nov2020_Sum,230240,Nov2020_Sum
739,Bay County ,Dec2020_Sum,315397,Dec2020_Sum
806,Bay County ,Jan2021_Sum,437472,Jan2021_Sum
873,Bay County ,Feb2021_Sum,500460,Feb2021_Sum
940,Bay County ,Mar2021_Sum,595719,Mar2021_Sum
1007,Bay County ,Apr2021_Sum,591102,Apr2021_Sum
1074,Bay County ,May2021_Sum,630995,May2021_Sum
1141,Bay County ,Jun2021_Sum,603887,Jun2021_Sum
1208,Bay County ,Jul2021_Sum,656049,Jul2021_Sum
1275,Bay County ,Aug2021_Sum,810344,Aug2021_Sum
1342,Bay County ,Sep2021_Sum,904305,Sep2021_Sum
1409,Bay County ,Oct2021_Sum,977432,Oct2021_Sum
1476,Bay County ,Nov2021_Sum,955973,Nov2021_Sum
1543,Bay County ,Dec2021_Sum,996066,Dec2021_Sum
1610,Bay County ,Jan2022_Sum,1147753,Jan2022_Sum
1677,Bay County ,Feb2022_Sum,1247116,Feb2022_Sum
1744,Bay County ,Mar2022_Sum,1412066,Mar2022_Sum
1811,Bay County ,Apr2022_Sum,1371171,Apr2022_Sum
1878,Bay County ,May2022_Sum,1426408,May2022_Sum
1945,Bay County ,Jun2022_Sum,794124,Jun2022_Sum
3,Bradford County ,Jan2020_Sum,0,Jan2020_Sum
70,Bradford County ,Feb2020_Sum,0,Feb2020_Sum
137,Bradford County ,Mar2020_Sum,13,Mar2020_Sum
204,Bradford County ,Apr2020_Sum,890,Apr2020_Sum
271,Bradford County ,May2020_Sum,1524,May2020_Sum
338,Bradford County ,Jun2020_Sum,1794,Jun2020_Sum
405,Bradford County ,Jul2020_Sum,5345,Jul2020_Sum
472,Bradford County ,Aug2020_Sum,17101,Aug2020_Sum
539,Bradford County ,Sep2020_Sum,28725,Sep2020_Sum
606,Bradford County ,Oct2020_Sum,36921,Oct2020_Sum
673,Bradford County ,Nov2020_Sum,39598,Nov2020_Sum
740,Bradford County ,Dec2020_Sum,53747,Dec2020_Sum
807,Bradford County ,Jan2021_Sum,76191,Jan2021_Sum
874,Bradford County ,Feb2021_Sum,77552,Feb2021_Sum
941,Bradford County ,Mar2021_Sum,89559,Mar2021_Sum
1008,Bradford County ,Apr2021_Sum,88574,Apr2021_Sum
1075,Bradford County ,May2021_Sum,93867,May2021_Sum
1142,Bradford County ,Jun2021_Sum,91551,Jun2021_Sum
1209,Bradford County ,Jul2021_Sum,102909,Jul2021_Sum
1276,Bradford County ,Aug2021_Sum,128133,Aug2021_Sum
1343,Bradford County ,Sep2021_Sum,151470,Sep2021_Sum
1410,Bradford County ,Oct2021_Sum,164623,Oct2021_Sum
1477,Bradford County ,Nov2021_Sum,160229,Nov2021_Sum
