,County Name,Total
330,Alachua County ,23183607.0
331,Baker County ,3246524.0
332,Bay County ,17186010.0
333,Bradford County ,2787794.0
334,Brevard County ,43130220.0
335,Broward County ,212858205.0
336,Calhoun County ,1564742.0
337,Charlotte County ,12243279.0
338,Citrus County ,10432350.0
339,Clay County ,18293443.0
340,Collier County ,31475547.0
341,Columbia County ,7906413.0
342,DeSoto County ,3685703.0
343,Dixie County ,1528991.0
344,Duval County ,91123151.0
345,Escambia County ,29811063.0
346,Flagler County ,7435404.0
347,Franklin County ,1195279.0
348,Gadsden County ,5088098.0
349,Gilchrist County ,1590196.0
350,Glades County ,828156.0
351,Gulf County ,1673956.0
352,Hamilton County ,1508686.0
353,Hardee County ,3149376.0
354,Hendry County ,4413385.0
355,Hernando County ,14187007.0
356,Highlands County ,8229158.0
357,Hillsborough County ,130669540.0
358,Holmes County ,2036277.0
359,Indian River County ,11604461.0
360,Jackson County ,5640373.0
361,Jefferson County ,1392069.0
362,Lafayette County ,1296716.0
363,Lake County ,28792634.0
364,Lee County ,66461322.0
365,Leon County ,29280841.0
366,Levy County ,3501458.0
367,Liberty County ,993878.0
368,Madison County ,2049672.0
369,Manatee County ,34643768.0
370,Marion County ,29507737.0
371,Martin County ,11329325.0
372,Miami-Dade County ,423242549.0
373,Monroe County ,6231966.0
374,Nassau County ,7820872.0
375,Okaloosa County ,18416906.0
376,Okeechobee County ,3855199.0
377,Orange County ,129387765.0
378,Osceola County ,40150280.0
379,Palm Beach County ,130595104.0
380,Pasco County ,40967884.0
381,Pinellas County ,73210301.0
382,Polk County ,68045807.0
383,Putnam County ,6374354.0
384,St. Johns County ,21632571.0
385,St. Lucie County ,25606364.0
386,Santa Rosa County ,17096744.0
387,Sarasota County ,30423231.0
388,Seminole County ,34247721.0
389,Sumter County ,7905131.0
390,Suwannee County ,4982387.0
391,Taylor County ,2555495.0
392,Union County ,1676780.0
393,Volusia County ,40397594.0
394,Wakulla County ,3410243.0
395,Walton County ,6333859.0
396,Washington County ,2485108.0
totalDate,,2066008029.0
